# Top-50 attacker C2 IPs by Ray-port fanout,  2026-06-08
# format: IP	distinct_ports
51.34.20.86	102
43.199.29.225	101
54.241.67.85	84
54.253.167.61	75
16.51.129.43	73
3.216.125.170	72
3.71.49.119	71
43.218.43.185	65
54.169.61.105	64
56.155.27.11	64
3.19.213.118	63
35.78.252.142	63
13.53.139.178	62
51.84.173.250	62
13.48.13.125	61
15.134.207.39	60
18.102.68.225	58
43.210.110.244	56
56.155.99.29	55
13.244.120.140	53
18.228.228.159	53
43.218.44.38	53
54.183.251.28	53
78.13.215.130	52
13.244.74.78	51
47.128.233.42	51
78.12.230.173	50
3.254.210.44	48
51.16.9.115	48
16.26.143.154	47
51.118.14.232	47
16.62.123.236	46
3.99.158.157	46
78.14.71.79	46
13.246.6.135	45
16.27.26.150	45
43.210.78.235	45
98.130.11.240	45
13.247.194.219	44
18.163.99.0	44
40.177.8.154	44
43.203.140.58	44
57.183.40.24	44
78.12.240.32	44
15.160.132.166	43
16.50.52.164	43
18.216.125.36	43
15.164.225.200	42
16.18.64.172	42
18.170.111.73	42
